sample,gt_notes,gt_midi,fft_f1,fft_res,fft_n,smr_f1,smr_res,smr_n,uni_f1,uni_res,uni_n,mut_f1,mut_res,mut_n
0,5,"[48, 60, 74, 88, 89]",0.41666666666663194,11.006669636896062,12,0.39999999999996,14.417669121750599,10,0.9999999999997999,0.015221256949641692,5,0.9999999999997999,0.015221255432930106,5
1,4,"[44, 66, 82, 90]",0.33333333333330556,19.160320417406574,12,0.3333333333332963,14.487778472071499,9,0.99999999999975,0.020034092896259154,4,0.99999999999975,0.020034092896259154,4
2,4,"[57, 61, 67, 74]",0.24999999999997916,15.185887552159535,12,0.29999999999997,7.717402900850167,10,0.99999999999975,0.014474355693447061,4,0.99999999999975,0.014474355788915854,4
3,5,"[46, 58, 62, 67, 71]",0.41666666666663194,11.077286464493927,12,0.45454545454541323,6.197873606102033,11,0.9999999999997999,0.01718584097538696,5,0.9999999999997999,0.01718583546625808,5
4,5,"[42, 63, 67, 68, 81]",0.41666666666663194,14.071740795853595,12,0.44444444444439507,7.7648882292898795,9,0.9999999999997999,0.01947079764988314,5,0.9999999999997999,0.01947079764988314,5
5,5,"[40, 46, 75, 79, 87]",0.33333333333330556,16.881641582640345,12,0.3333333333332963,10.182096474586846,9,0.59999999999988,1.9601943777174355,5,0.9999999999997999,0.015206388470779424,5
6,4,"[45, 66, 68, 73]",0.33333333333330556,10.742190185912289,12,0.44444444444439507,4.70407132246352,9,0.99999999999975,0.015472466912366267,4,0.99999999999975,0.015472466912366267,4
7,6,"[43, 52, 73, 80, 88, 94]",0.41666666666663194,8.95818494915946,12,0.44444444444439507,11.551423993394627,9,0.9999999999998334,0.009689050431060053,6,0.9999999999998334,0.009689050431060053,6
8,2,"[77, 87]",0.16666666666665278,18.160030973972397,12,0.19999999999998,21.520479570817447,10,0.9999999999995,0.014548983191436285,2,0.9999999999995,0.014548983191436285,2
9,5,"[38, 57, 71, 90, 96]",0.41666666666663194,13.835413274948754,12,0.19999999999998,16.620676024140487,10,0.79999999999984,1.8784054122712062,5,0.9999999999997999,0.010966287683891539,5
10,3,"[55, 59, 74]",0.24999999999997916,16.379576432511197,12,0.3333333333332963,10.686691231709625,9,0.9999999999996666,0.027826751609242122,3,0.9999999999996666,0.027826751609242122,3
11,4,"[44, 52, 65, 77]",0.24999999999997916,15.93489894853019,12,0.22222222222219754,8.168143954954324,9,0.39999999999992,4.417328714482966,5,0.59999999999988,2.6066871442789763,5
